Date,flight prices,the florida keys,florida beach resorts,planning a trip,resorts florida,exercise,florida beach house,key florida,keys florida,hotels in florida,longboat key,weights,cay,family resorts,south beach miami,buying a house,shore excursions,island florida,longboat,destin florida rentals,florida homes for sale,key west florida,breakfast key west,hotels clearwater,suites orlando,vacation in florida,axles,clearwater beach florida,st petersburg beach,resort packages,key largo,marathon key,all inclusive aruba,family beach vacations,cruise prices,plan a,marathon florida,bed and breakfast key west,universal studios vacation,florida resorts,diet,lido key,beach houses for rent,florida disney,stanford summer,us virgin islands,hotels daytona,pine key,florida for sale,to do in cancun,vacation house rentals,florida cheap,cruise bahamas,diet snacks,vacation all inclusive,key west beaches,house key,homes for sale florida,hotels in san juan,key west,beach houses,all inclusive caribbean,high school internships,las vegas flights,siesta keys,inclusive resort,sirata beach,camping in florida,passport renewal,low carb meals,florida vacation spots,sirata beach resort,petersburg,body fat,high school summer programs,wedding sandals,living in florida,carb meals,treasure island florida,hawaii packages,hawaii flights,rentals florida keys,hopper pass,summer hockey camps,camp themes,creatine,all inclusive resort,rosacea,banyan,big pine key,hawaiian inn,sugar alcohol,bride dresses,rentals orlando,college summer programs,summer high,duck key,west florida,bavaro,miami beach hotels
3/14/04,1.082,1.986,0.827,0.95,0.602,1.552,1.49,1.589,0.722,1.6,1.69,0.959,1.036,0.459,1.94,1.688,1.238,1.511,2.094,0.592,3.239,1.011,1.225,0.791,1.354,1.014,2.487,0.229,2.556,0.615,1.634,2.988,0.682,1.696,1.002,-0.018,1.631,1.357,2.101,1.863,1.295,1.568,-0.008,1.132,1.648,1.475,0.661,0.41,1.617,0.27,-0.059,2.372,1.672,-0.275,0.317,0.371,0.071,2.843,0.684,1.413,1.165,0.587,0.262,0.618,0.779,-0.269,1.432,3.198,-0.059,1.264,0.357,1.513,1.372,0.017,2.547,0.669,1.514,0.895,0.971,2.388,-0.764,2.106,3.007,1.098,0.555,1.675,-0.427,1.984,2.24,0.381,2.664,3.452,0.703,-0.83,2.215,1.893,1.939,2.005,1.313,1.992
3/21/04,1.195,2.146,1.64,0.73,0.563,1.67,3.464,1.742,2.131,0.909,1.394,0.471,1.246,1.233,1.034,1.436,3.423,1.626,1.684,1.205,2.9,1.032,2.235,0.147,1.075,0.075,3.063,0.241,2.097,0.764,1.12,1.644,-0.147,0.338,2.458,-0.879,0.556,2.606,1.401,0.983,1.144,1.814,1.056,1.213,3.591,1.197,0.231,-0.383,2.106,0.951,0.239,-1.004,2.479,-0.122,0.282,0.581,0.952,4.781,1.662,1.098,2.014,0.215,0,0.267,1.04,0.547,1.316,2.483,-0.198,3.296,-0.19,0.876,0.683,0.389,1.169,0.824,1.781,2.779,0.895,3.947,-1.164,0.398,2.214,-1.066,1.007,2.162,0.371,2.98,2.5,-0.582,0.025,2,0.644,-0.266,2.099,1.784,0.083,1.482,0.543,0.42
3/28/04,2.608,1.132,2.321,-0.426,0.164,2.018,1.747,2.152,0.546,1.246,1.497,1.142,1.116,0.337,0.405,1.671,0.232,1.719,1.638,1.106,3.004,0.896,3.272,1.037,1.244,0.328,2.452,1.368,1.271,0.245,1.246,1.351,1.087,-0.7,0.476,-0.259,1.075,2.667,2.561,1.677,1.06,0.248,0.444,1.156,2.238,1.682,0.331,2.39,1.285,0.512,0.516,-0.477,0.186,1.508,-1.172,0.47,0.092,2.781,1.304,1.305,1.984,-0.06,1.958,0.152,1.487,0.253,0.956,0.552,0.142,2.023,0.077,0.751,1.208,0.476,1.813,0.356,1.148,1.502,1.346,2.64,-0.468,0.609,2.918,2.192,0.454,2.837,0.209,1.745,2.004,2.207,0.789,3.459,0.443,0.436,1.666,2.058,1.157,1.553,0.374,0.683
4/4/04,-0.143,1.151,1.865,-0.694,0.171,1.678,0.411,1.357,-0.15,1.017,0.706,0.947,0.524,0.248,0.678,1.605,0.109,0.706,0.729,0.108,1.404,0.285,0.706,1.558,-0.03,-0.229,2.29,0.408,0.978,-0.341,1.017,1.319,-0.915,0.391,0.702,-0.601,0.516,0.624,1.274,0.897,0.693,1.197,-0.613,0.181,1.83,1.096,-0.586,-0.124,2.084,0.711,-0.753,0.82,0.529,0.364,-1.031,0.92,-0.738,0.759,0.748,0.838,0.877,-0.556,1.427,1.894,0.005,0.25,0.302,0.563,0.135,0.295,0.982,-0.058,1.279,0.29,1.776,1.161,1.285,0.122,0.712,1.788,0.799,2.931,3.582,-1.066,-0.273,2.346,0.231,2.854,2.381,-0.153,-0.232,2.475,-0.04,-0.492,1.235,1.581,0.136,1.342,0.366,0.996
4/11/04,0.498,0.698,0.295,0.537,0.115,0.792,0.442,0.681,-0.742,-0.018,0.483,0.112,0.188,0.269,0.288,2.037,0.416,0.278,0.867,-0.216,1.6,-0.102,1.056,-1.221,0.619,-0.184,1.006,-0.439,1.487,-0.197,0.595,0.419,-0.719,-0.051,0.564,-0.06,0.376,-0.064,3.971,0.88,0.96,-0.159,0.229,1.053,0.616,-0.136,-0.82,0.179,3.053,-0.363,-0.864,0.612,1.666,-0.638,1.736,-0.676,0.872,0.29,-0.16,0.382,0.862,-0.823,-0.36,-1.043,-0.475,-0.522,0.193,0.174,-0.556,1.67,1.273,0.353,1.783,-0.444,0.529,-0.079,3.532,1.495,-0.204,0.622,0.313,-2.924,2.189,-1.066,-0.228,1.143,-0.709,1.614,1.123,-0.029,-2.138,2.137,-0.211,-0.277,1.212,1.877,-0.205,0.363,0.522,0.318
4/18/04,0.138,0.765,0.317,-0.094,0.931,1.705,2.768,1.552,0.084,1.017,1.117,0.969,0.773,0.781,0.277,1.867,0.626,0.781,1.415,0.253,1.843,0.167,-0.035,0.198,0.562,0.274,2.06,-0.281,1.067,0.626,0.97,1.465,-1.809,-0.407,0.772,1.394,0.236,-0.619,3.316,1.042,1.914,1.43,-0.193,1.187,1.501,1.351,2.18,-0.792,1.927,0.543,1.074,-0.38,1.136,0.922,-0.628,0.641,0.797,2.109,-0.408,0.523,1.132,-0.833,1.434,-0.785,0.682,-0.066,0.091,1.105,0.078,1.387,0.368,0.203,1.132,0.35,1.026,-0.57,0.619,1.089,0.893,2.308,1.865,-0.399,2.898,1.844,0.414,2.143,-0.01,2.303,1.82,-0.818,-0.289,2.384,-0.503,0.522,1.609,1.25,-0.367,1.268,0.436,0.524
4/25/04,2.951,0.96,0.95,-0.104,-0.549,1.428,0.853,0.833,0.664,-0.168,0.169,0.944,0.619,0.039,-0.304,1.477,-0.235,0.297,0.691,1.251,2.355,0.299,2.946,-0.194,0.602,-1.446,1.772,-0.474,1.7,-0.373,0.104,1.583,-0.499,0.531,0.905,0.859,1.019,3.044,1.635,0.474,2.145,-0.092,-0.233,1.922,1.13,0.428,-0.862,-0.417,2.283,0.534,1.22,1.263,0.92,1.928,1.107,0.18,0.656,0.774,-0.739,0.732,0.696,-0.519,2.315,-0.375,0.859,-0.632,0.23,0.63,-0.279,2.106,-0.134,0.196,0.788,0.293,1.926,0.126,1.801,1.817,-0.515,1.827,-0.208,0.54,2.45,1.548,0.409,2.331,-0.635,1.74,2.017,-0.476,0.527,3.211,-0.314,0.893,1.907,2.334,-0.375,1.148,0.259,0.189
5/2/04,1.468,0.604,-0.126,1.532,-0.034,0.687,1.467,0.425,-0.156,0.253,0.198,0.844,0.105,-0.131,-0.024,1.456,0.066,0.439,0.371,0.287,1.307,-0.228,0.222,-0.343,-0.166,-1.071,0.578,-0.164,0.613,-1.224,0.111,-0.613,1.084,1.059,-0.175,0.71,-0.814,-0.079,1.282,1.073,1.966,0.666,-0.188,0.137,0.757,0.817,-0.25,-0.456,1.96,2.285,-0.043,0.591,0.599,1.677,0.453,2.776,0.089,0.851,0.972,0.38,0.706,-0.876,0.367,-0.209,0.922,-0.823,1.25,-0.554,0.135,2.648,0.076,0.913,1.258,-0.281,0.795,2.139,1.145,2.25,-0.122,0.484,-0.937,0.286,2.294,0.414,-0.007,2.461,-0.855,1.49,0.623,-0.525,0.578,3.088,-0.826,-0.157,1.663,1.41,0.236,0.394,0.627,1.44
5/9/04,1.441,0.239,1.49,1.104,-0.112,0.715,-0.203,0.574,-0.865,0.916,0.362,1.306,0.739,-0.108,-0.42,1.46,0.427,0.424,0.524,-0.331,1.246,-0.02,3.852,-1.136,0.98,-0.729,-0.122,-0.363,0.47,-0.045,0.28,1.267,-0.455,0.57,1.109,1.199,0.606,3.636,0.21,0.911,2.261,0.653,0.013,1.26,0.441,0.464,0.704,0.031,1.111,3.15,-0.529,1.49,1.825,-0.228,-1.033,0.686,1.052,1.412,-1.343,0.388,1.159,0.252,1.939,0.342,-0.305,-0.309,1.678,-0.721,0.138,1.721,0.403,0.982,1.356,0.274,0.786,1.056,0.675,1.585,0.329,1.663,0.095,-0.685,3.246,1.293,-0.623,2.042,-0.261,0.867,0.541,-0.005,-0.472,2.62,-0.724,-1.057,1.42,1.113,1.138,0.677,0.185,0.809
5/16/04,2.893,0.573,0.669,1.899,0.137,0.687,1.581,1.133,-0.376,0.905,0.885,1.151,0.76,0.476,0.277,1.284,0.466,1.112,1.382,1.898,1.985,-0.406,3.629,0.424,0.277,-0.214,1.148,-0.446,1.37,0.308,0.266,0.669,1.816,-0.073,0.739,0.491,0.191,2.379,0.415,0.99,1.915,1.617,0.214,0.866,0.863,0.944,0.311,0.904,0.795,2.347,-0.301,0.564,1.395,0.791,0.576,-0.241,1.843,1.59,0.285,0.558,1.463,0,1.363,0.326,0.248,-0.278,1.224,1.621,0.034,3.239,0.897,0.807,1.587,0.299,0.504,-0.904,4.883,2.965,0.397,1.412,1.124,1.222,3.756,1.286,1.501,2.034,-0.422,1.341,1.408,0.866,2.013,3.17,-0.468,-0.095,1.565,0.463,0.486,0.299,1.387,0.986
5/23/04,2.207,1.289,0.297,0.571,-0.103,0.394,0.313,1.432,0.796,0.756,0.846,0.826,1.137,0.794,0.292,0.494,0.691,1.334,1.281,1.423,1.297,0.215,2.246,-0.051,-0.012,-1.006,1.127,0.089,0.886,0.298,0.819,0.909,-0.735,0.674,1.199,0.558,0.054,2.101,1.629,1.395,1.514,1.534,0.046,1.093,0.856,1.209,0.437,0.03,0.556,1.983,1.153,1.537,2.278,-0.295,0.443,2.025,-0.147,2.6,-0.716,0.708,1.104,1.067,1.536,-1.349,0.756,0.534,0.557,1.678,-0.043,2.125,0.688,0.457,1.446,0.554,0.313,0.276,1.32,1.804,0.583,3.093,0.9,-0.261,2.502,-1.066,1.172,1.914,0.515,1.032,2.032,-0.328,1.329,2.518,-0.6,-1.069,0.093,0.9,2.09,1.189,0.641,1.068
5/30/04,0.624,1.859,0.429,1.442,0.281,1.149,0.892,1.291,0.025,0.49,0.64,1.201,-0.023,0.54,-0.19,1.377,0.127,0.97,0.632,1.801,2.639,0.4,1.189,-0.349,0.319,-0.727,0.611,0.266,0.509,-0.399,0.417,1.395,1.055,0.282,1.87,1.147,0.256,0.184,4.589,1.328,1.295,0.085,0.326,1.633,1.593,1.091,-1.097,-0.067,1.949,0.419,-0.095,0.122,0.549,2.65,0.631,2.008,0.163,2.674,-1.266,0.731,1.807,-0.409,-0.485,0.399,0.199,-0.396,1.205,1.068,0.218,1.352,0.283,1.157,1.271,0.686,0.411,0.606,2.714,1.035,0,2.09,1.178,0.917,2.496,1.188,1.32,1.783,-0.568,1.117,2.962,-0.013,0.817,3.06,-0.393,0.122,0.345,0.761,0.068,1.116,0.301,0.291
6/6/04,0.165,1.324,0.995,1.286,-0.76,1.226,1.198,1.693,0.719,1.705,0.916,1.338,0.479,0.509,0.096,0.804,0.725,1.686,0.995,1.23,2.722,-0.221,1.646,0.993,-0.534,-0.994,0.862,0.186,1.458,0.516,0.69,2.027,-0.319,0.859,0.548,1.575,0.924,1.874,1.653,1.264,1.083,1.564,0.941,0.73,1.002,0.375,1.061,0.697,1.297,0.164,-0.228,0.772,0.366,1.162,-0.612,0.128,-1.098,3.04,-1.553,0.677,1.666,-0.435,0.496,-0.281,-0.202,0.519,0.193,-1.088,0.239,1.797,0.355,0.22,1.543,0.719,0.422,1.225,0.401,1.362,1.491,1.76,-0.281,0.427,1.799,0.788,1.831,1.474,0.317,1.162,1.345,0.687,4.404,2.469,-0.568,-0.116,0.915,0.805,0.306,0.734,1.013,0.054
6/13/04,0.479,1.688,0.331,1.151,-0.674,0.962,1.51,1.537,1.899,1.899,0.739,1.472,0.269,0.898,-0.119,1.282,1.326,1.346,1.157,1.678,2.946,0.269,1.249,0.189,-0.033,0.668,0.003,0.847,-0.027,0.446,0.631,1.648,0.904,-0.3,-0.264,1.011,0.672,1.643,1.9,0.751,1.082,0.857,0.889,0.361,0.502,0.716,0.272,0.083,0.54,0.6,0.877,1.601,2.793,2.274,1.579,0.388,0.732,1.459,-0.5,0.808,1.726,0.094,-0.796,0.2,1.191,-0.206,0.289,0.252,0.212,0.924,0.548,0.499,0.727,0.446,0.145,1.248,1.063,0.808,0.709,1.915,0.482,1.796,2.762,-1.066,0.889,0.838,-0.272,0.173,0.567,0.094,0.495,2.375,-0.529,-0.494,1.012,0.332,1.197,1.05,1.835,0.273
6/20/04,0.017,2.271,1.013,1.232,1.374,0.898,1.362,1.596,1.476,1.458,1.264,0.931,-0.289,1.086,-0.137,1.374,0.924,1.589,1.202,2.748,1.305,0.755,1.885,-0.019,1.467,-0.068,0.892,0.282,2.17,1.116,0.846,2.537,-0.704,0.37,0.113,1.269,0.244,1.901,2.344,1.695,1.011,0.266,0.666,0.625,1.341,0.599,1.284,1.191,2.12,-0.127,0.04,2.72,1.916,0.28,1.42,1.84,0.863,2.871,1.398,1.036,1.806,-0.848,-0.916,0.721,0.401,-0.032,-0.334,0.249,0.121,1.34,0.016,-0.541,1.521,0.358,-0.535,-0.814,2.493,1.016,2.001,2.664,0.356,0.445,1.548,-1.066,0.245,0.407,-0.206,0.271,1.897,0.962,1.151,1.816,-0.299,-0.291,0.439,0.18,-0.155,1.46,2.278,1.168
6/27/04,0.552,-0.011,1.627,0.412,1.502,0.536,1.903,1.64,-0.011,1.294,1.365,1.162,-0.373,1.197,-0.335,0.56,0.427,1.474,1.327,0.884,1.521,0.712,1.361,1.109,0.377,-0.749,0.446,0.606,1.881,0.65,1.127,1.558,1.215,0.259,1.277,0.466,-0.369,0.687,0.169,1.448,0.58,-0.1,0.598,-0.479,1.093,1.221,1.798,0.67,2.775,-0.47,0.042,2.058,2.291,0.549,1.385,-0.031,0.103,1.783,-0.41,0.746,1.547,-0.789,-0.263,0.415,-0.031,-0.205,2.039,0.512,-0.137,1.19,0.256,1.913,2.258,0.326,-0.704,0.381,1.832,1.106,0.966,1.393,-0.14,0.531,2.053,0.527,-0.031,0.434,-0.229,0.614,1.254,0.774,0.786,2.031,-0.517,-0.785,0.073,0.116,0.129,1.419,0.76,0.818
7/4/04,1.392,0.823,0.828,0.803,0.837,1.211,2.158,1.906,1.395,0.884,1.381,1.064,0.156,1.581,-0.611,1.13,1.326,1.463,1.567,1.624,3.017,0.437,2.145,0.117,0.422,-0.313,0.782,0.012,0.991,1.366,1.144,1.748,1.537,0.843,0.743,0.998,0.91,0.504,2.57,1.58,0.976,-0.49,0.753,-0.805,-0.533,2.399,0.414,1.403,2.703,0.253,2.054,1.689,1.757,1.206,0.034,1.31,0.951,1.905,-0.5,1.05,1.808,0.347,-1.583,1.422,0.649,0.487,1.179,0.434,0.237,1.592,0.133,0.849,1.637,0.594,-0.578,0.452,1.629,1.47,1.019,2.555,0.874,0.97,3.749,0.566,1.026,0.963,0.432,1.046,2.104,1.352,2.01,2.157,-0.468,-0.122,0.457,-0.191,1.13,1.163,1.067,-0.081
7/11/04,2.425,2,0.778,-0.121,0.362,1.029,1.789,1.235,0.453,0.547,0.856,1.082,0.292,1.349,0.11,0.951,1.771,1.54,1.071,1.739,3.76,0.705,1.98,-1.262,0.101,1.664,0.346,-0.492,2.866,2.033,0.818,0.286,0.191,0.365,1.049,0.454,-0.361,2.107,3.076,0.705,0.819,0.136,-0.002,1.278,0.592,1.116,-0.916,-0.377,1.355,-0.324,2.057,0.572,1.612,1.235,0.764,0.902,0.549,2.689,-0.712,1.424,1.656,0.525,-0.92,2.326,0.525,0.364,0.435,1.039,0.168,1.183,1.01,0.144,1.107,0.303,-1.699,1.206,1.261,0.859,1.35,1.253,-0.083,-0.179,2.558,-1.066,-0.16,0.722,0.337,0.706,2.226,-0.374,2.967,1.783,-0.327,0.244,-0.271,-0.625,1.295,1.495,2.543,0.943
7/18/04,-0.113,0.559,-0.096,-0.541,0.342,1.248,0.533,1.621,-0.012,0.824,0.929,1.011,-0.003,1.692,-0.019,1.392,-0.037,1.15,1.103,0.314,3.037,0.699,1.912,0.883,0.703,-0.341,0.252,0.062,1.722,0.017,1.875,0.613,1.335,-0.684,1.248,1.027,-0.453,1.475,1.972,1.09,0.68,0.29,0.091,-0.448,-0.332,0.722,0.367,0.495,1.432,0.46,0.886,-0.439,1.079,-0.183,0.054,0.977,0.639,3.44,-0.296,1.263,0.91,-0.021,-1.205,1.954,-0.649,0.24,0.029,0.92,-0.32,1.557,-1.258,-0.205,1.144,0.93,-0.857,0.211,1.513,1.247,-0.046,1.377,-1.123,0.652,3.354,-1.066,-0.758,0.631,0.127,0.663,1.705,0.603,2.306,2.467,-0.407,-1.974,-0.734,-1.053,-0.087,1.29,1.724,1.114
7/25/04,0.223,0.575,-0.238,-0.246,-0.214,0.589,1.274,1.524,1.151,0.6,0.543,1.257,0.337,1.339,0.052,0.991,0.956,0.612,1.037,0.964,3.017,0.445,1.969,-0.084,0.087,-0.134,0.526,-0.573,1.909,1.56,0.924,1.191,0.016,-0.997,-0.109,1.037,0.507,2.546,0.928,0.976,0.232,0.184,0.085,-0.925,-0.819,1,0.795,0.718,2.269,1.007,1.096,1.473,1.773,-1.211,1.152,2.91,0.136,2.527,0.083,1.131,1.015,0.68,-0.957,1.158,0.619,0.651,0.363,-1.132,0.153,0.024,-0.902,0.415,1.443,-0.218,-1.699,-0.307,2.035,-0.248,0.341,1.67,-0.127,2.007,2.701,-1.066,-0.746,0.547,0.526,0.223,2.178,0.292,0.216,1.612,-0.376,-0.525,-0.486,-0.934,0.045,1.357,1.105,1.21
